epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7625,1.59576,2.71417,1.14592,0.42921,0.87668,0.7845,0.486,1.19019,3.1856,1.0041,0.000537144,0.000537144,0.000537144
2,41.014,1.32819,1.33565,1.03546,1,0.46402,0.88215,0.59695,1.19321,2.24742,1.02899,0.00106576,0.00106576,0.00106576
3,61.5252,1.219,1.02184,0.99738,0.99109,0.84987,0.89044,0.58871,1.15839,1.58028,1.0193,0.00156688,0.00156688,0.00156688
4,81.5387,1.13277,0.93838,0.98249,1,0.88067,0.915,0.63651,1.0813,1.42392,1.01295,0.00154323,0.00154323,0.00154323
5,101.724,1.05544,0.87402,0.9715,0.99761,0.89835,0.90024,0.68027,0.95627,0.83653,0.94974,0.00150197,0.00150197,0.00150197
6,121.666,0.97869,0.80886,0.938,0.98981,0.93019,0.96191,0.73306,0.75171,0.68055,0.8919,0.00146071,0.00146071,0.00146071
7,141.661,0.89854,0.75781,0.91827,0.98838,0.91935,0.96147,0.73689,0.74004,0.66187,0.9009,0.00141945,0.00141945,0.00141945
8,161.765,0.84558,0.72042,0.90402,0.9874,0.94844,0.96403,0.76497,0.66966,0.63476,0.89282,0.00137819,0.00137819,0.00137819
9,181.63,0.83346,0.7015,0.9053,0.99027,0.94435,0.96279,0.71081,0.76246,0.64585,0.91671,0.00133693,0.00133693,0.00133693
10,201.775,0.87961,0.70747,0.9033,0.98868,0.96335,0.965,0.78682,0.6383,0.62899,0.8818,0.00129568,0.00129568,0.00129568
11,222.031,0.81617,0.66405,0.90166,0.9954,0.90022,0.93259,0.78063,0.66864,0.59727,0.89149,0.00125442,0.00125442,0.00125442
12,242.15,0.76126,0.64965,0.8991,0.94132,0.93528,0.94496,0.78257,0.5875,0.57432,0.86428,0.00121316,0.00121316,0.00121316
13,262.065,0.76583,0.62436,0.87788,0.97481,0.91583,0.94451,0.79975,0.5368,0.53124,0.86195,0.0011719,0.0011719,0.0011719
14,281.997,0.72126,0.59555,0.8826,0.98878,0.95161,0.9645,0.80592,0.53795,0.5009,0.86781,0.00113064,0.00113064,0.00113064
